town_name,num_coworking_space
"Auburn, AL",2
"Fairfield, AL",0
"Florence, AL",0
"Homewood, AL",4
"Huntsville, AL",5
"Jacksonville, AL",0
"Livingston, AL",0
"Mobile, AL",1
"Montevallo, AL",2
"Montgomery, AL",2
"Troy, AL",2
"Tuscaloosa, AL",8
"Tuskegee, AL",2
"Anchorage, AK",1
"Fairbanks, AK",0
"Juneau, AK",0
"Ketchikan, AK",0
"Sitka, AK",0
"Chandler, AZ",7
"Flagstaff, AZ",20
"Gilbert, AZ",6
"Glendale, AZ",2
"Lake Havasu City, AZ",30
"Mesa, AZ",6
"Peoria, AZ",3
"Prescott, AZ",22
"Scottsdale, AZ",20
"Tempe, AZ",9
"Tucson, AZ",8
"Arkadelphia, AR",0
"Conway, AR",2
"Fayetteville, AR",5
"Fort Smith, AR",1
"Jonesboro, AR",0
"Little Rock, AR",2
"Magnolia, AR",0
"Monticello, AR",0
"Russellville, AR",0
"Searcy, AR",2
"Angwin, CA",0
"Arcata, CA",0
"Azusa, CA",1
"Berkeley, CA",6
"Chico, CA",1
"Claremont, CA",2
"Cotati, CA",0
"Davis, CA",1
"Irvine, CA",30
"Isla Vista, CA",0
"La Verne, CA",7
"Loma Linda, CA",2
"Merced, CA",3
"Orange, CA",4
"Palo Alto, CA",10
"Pasadena, CA",9
"Pomona, CA",3
"Redlands, CA",3
"Riverside, CA",3
"Rocklin, CA",7
"San Luis Obispo, CA",1
"San Marcos, CA",2
"Santa Barbara, CA",2
"Santa Cruz, CA",13
"Seaside, CA",1
"Stanford, CA",2
"Turlock, CA",2
"University District, CA",0
"Whittier, CA",5
"Alamosa, CO",0
"Aurora, CO",6
"Boulder, CO",5
"Colorado Springs, CO",6
"Durango, CO",1
"Fort Collins, CO",2
"Golden, CO",3
"Grand Junction, CO",0
"Greeley, CO",5
"Gunnison, CO",1
"Lakewood, CO",4
"Pueblo, CO",1
"Bridgeport, CT",2
"Danbury, CT",2
"East Hartford, CT",2
"Fairfield, CT",1
"Farmington, CT",3
"Hamden, CT",1
"Hartford, CT",5
"Middletown, CT",2
"New Britain, CT",3
"New Haven, CT",5
"Downtown New Haven, CT",4
"New London, CT",2
"North Haven, CT",2
"Southington, CT",3
"Stamford, CT",7
"Storrs, CT",0
"Waterbury, CT",2
"Willimantic, CT",0
"West Hartford, CT",4
"West Haven, CT",4
"Dover, DE",1
"Newark, DE",2
"New Castle, DE",3
"Wilmington, DE",3
"Ave Maria, FL",1
"Boca Raton, FL",7
"Bradenton, FL",2
"Brandon, FL",2
"Cape Coral, FL",2
"Coral Gables, FL",10
"Coral Springs, FL",4
"Davie, FL",6
"Daytona Beach, FL",2
"DeLand, FL",1
"Estero, FL",2
"Fort Lauderdale, FL",14
"Fort Myers, FL",5
"Gainesville, FL",0
"Gulfport, FL",1
"Hialeah, FL",3
"Hollywood, FL",6
"Kendall, FL",3
"Lakeland, FL",4
"Miami Gardens, FL",1
"Miami Shores, FL",4
"Miramar, FL",2
"North Miami, FL",5
"Panama City, FL",2
"Pembroke Pines, FL",2
"Pensacola, FL",0
"Port St. Lucie, FL",2
"Sarasota, FL",3
"St. Augustine, FL",2
"St. Leo, FL",0
"St. Petersburg, FL",7
"Sunrise, FL",2
"Tallahassee, FL",2
"West Palm Beach, FL",7
"Albany, GA",0
"Athens, GA",2
"Augusta, GA",1
"Blue Ridge, GA",6
"Brunswick, GA",0
"Carrollton, GA",3
"Columbus, GA",2
"Dahlonega, GA",1
"Demorest, GA",0
"Fort Valley, GA",1
"Glennville, GA",0
"Kennesaw, GA",3
"Lawrenceville, GA",3
"Madison, GA",4
"Macon, GA",1
"Milledgeville, GA",2
"Mount Vernon, GA",0
"Oxford, GA",5
"Rome, GA",11
"Savannah, GA",2
"Statesboro, GA",2
"Swainsboro, GA",0
"Valdosta, GA",0
"Vidalia, GA",0
"Waleska, GA",2
"Watkinsville, GA",2
"Young Harris, GA",0
"Laie, HI",0
"Boise, ID",5
"Caldwell, ID",6
"Lewiston, ID",0
"Moscow, ID",0
"Nampa, ID",3
"Pocatello, ID",2
"Rexburg, ID",0
"Aurora, IL",3
"Bloomington, IL",2
"Bourbonnais, IL",0
"Carbondale, IL",1
"Champaign–Urbana metropolitan area, IL",0
"Charleston, IL",0
"Deerfield, IL",2
"DeKalb, IL",0
"Downers Grove, IL",4
"East Peoria, IL",0
"Edwardsville, IL",2
"Elgin, IL",3
"Elmhurst, IL",2
"Evanston, IL",5
"Joliet, IL",3
"Lebanon, IL",2
"Macomb, IL",2
"Naperville, IL",8
"Normal, IL",2
"Peoria, IL",0
"River Forest, IL",3
"Rock Island, IL",2
"Rockford, IL",3
"Springfield, IL",0
"University Park, IL",1
"Angola, IN",0
"Bloomington, IN",2
"Greencastle, IN",4
"Hanover, IN",0
"Marion, IN",0
"Muncie, IN",0
"Oakland City, IN",1
"South Bend, IN",3
"Terre Haute, IN",0
"Upland, IN",0
"West Lafayette, IN",2
"Ames, IA",2
"Bettendorf, IA",2
"Cedar Falls, IA",0
"Cedar Rapids, IA",2
"Davenport, IA",2
"Decorah, IA",2
"Des Moines, IA",2
"Fayette, IA",0
"Grinnell, IA",0
"Indianola, IA",2
"Iowa City, IA",2
"Lamoni, IA",0
"Mount Vernon, IA",2
"Orange City, IA",0
"Oskaloosa, IA",0
"Sioux Center, IA",0
"Storm Lake, IA",0
"Waverly, IA",0
"Baldwin City, KS",2
"Emporia, KS",0
"Hays, KS",0
"Lawrence, KS",3
"Manhattan, KS",2
"Pittsburg, KS",0
"Topeka, KS",0
"Wichita, KS",7
"Barbourville, KY",0
"Berea, KY",0
"Bowling Green, KY",1
"Campbellsville, KY",0
"Columbia, KY",0
"Crestview Hills, KY",2
"Danville, KY",0
"Frankfort, KY",4
"Georgetown, KY",4
"Grayson, KY",0
"Highland Heights, KY",2
"Lexington, KY",4
"Louisville, KY",6
"Midway, KY",4
"Morehead, KY",0
"Murray, KY",0
"Owensboro, KY",1
"Pikeville, KY",0
"Richmond, KY",4
"Williamsburg, KY",0
"Wilmore, KY",2
"Baton Rouge, LA",4
"Grambling, LA",0
"Hammond, LA",1
"Lafayette, LA",0
"Monroe, LA",2
"Natchitoches, LA",1
"Ruston, LA",0
"Thibodaux, LA",2
"Augusta, ME",1
"Bangor, ME",3
"Bar Harbor, ME",0
"Biddeford, ME",2
"Brunswick, ME",2
"Farmington, ME",0
"Fort Kent, ME",0
"Gorham, ME",0
"Lewiston, ME",1
"Machias, ME",0
"Orono, ME",1
"Portland, ME",0
"Presque Isle, ME",0
"Waterville, ME",0
"Annapolis, MD",4
"Chestertown, MD",22
"College Park, MD",2
"Cumberland, MD",0
"Emmitsburg, MD",0
"Frostburg, MD",0
"Germantown, MD",5
"Princess Anne, MD",1
"Salisbury, MD",1
"Silver Spring, MD",3
"Takoma Park, MD",2
"Towson, MD",4
"Westminster, MD",2
"Bridgewater, MA",2
"Cambridge, MA",7
"Chestnut Hill, MA",3
"Colleges of Worcester Consortium, MA",0
"Dudley, MA",0
"North Grafton, MA",0
"Paxton, MA",0
"Worcester, MA",4
"Dartmouth, MA",1
"Fenway, MA",0
"Fitchburg, MA",2
"Five Colleges (Massachusetts), MA",0
"Amherst, MA",1
"Northampton, MA",1
"South Hadley, MA",1
"Lowell, MA",2
"Medford, MA",3
"North Adams, MA",0
"North Andover, MA",3
"Somerville, MA",3
"Springfield, MA",2
"Waltham, MA",4
"Wellesley, MA",4
"Westfield, MA",3
"Williamstown, MA",1
"Adrian, MI",4
"Albion, MI",0
"Allendale, MI",3
"Alma, MI",0
"Ann Arbor, MI",7
"Berrien Springs, MI",0
"Big Rapids, MI",0
"Dearborn, MI",2
"East Lansing, MI",2
"Flint, MI",1
"Genoa Township, MI",2
"Hillsdale, MI",0
"Holland, MI",2
"Houghton, MI",0
"Kalamazoo, MI",2
"Lansing, MI",5
"Marquette, MI",1
"Midland, MI",1
"Mount Pleasant, MI",1
"Olivet, MI",0
