US college towns,town,state,state_abv
"Auburn, Alabama",Auburn,Alabama,AL
"Fairfield, Alabama",Fairfield,Alabama,AL
"Florence, Alabama",Florence,Alabama,AL
"Homewood, Alabama",Homewood,Alabama,AL
"Huntsville, Alabama",Huntsville,Alabama,AL
"Jacksonville, Alabama",Jacksonville,Alabama,AL
"Livingston, Alabama",Livingston,Alabama,AL
"Mobile, Alabama",Mobile,Alabama,AL
"Montevallo, Alabama",Montevallo,Alabama,AL
"Montgomery, Alabama",Montgomery,Alabama,AL
"Troy, Alabama",Troy,Alabama,AL
"Tuscaloosa, Alabama",Tuscaloosa,Alabama,AL
"Tuskegee, Alabama",Tuskegee,Alabama,AL
"Anchorage, Alaska",Anchorage,Alaska,AK
"Fairbanks, Alaska",Fairbanks,Alaska,AK
"Juneau, Alaska",Juneau,Alaska,AK
"Ketchikan, Alaska",Ketchikan,Alaska,AK
"Sitka, Alaska",Sitka,Alaska,AK
"Chandler, Arizona",Chandler,Arizona,AZ
"Flagstaff, Arizona",Flagstaff,Arizona,AZ
"Gilbert, Arizona",Gilbert,Arizona,AZ
"Glendale, Arizona",Glendale,Arizona,AZ
"Lake Havasu City, Arizona",Lake Havasu City,Arizona,AZ
"Mesa, Arizona",Mesa,Arizona,AZ
"Peoria, Arizona",Peoria,Arizona,AZ
"Prescott, Arizona",Prescott,Arizona,AZ
"Scottsdale, Arizona",Scottsdale,Arizona,AZ
"Tempe, Arizona",Tempe,Arizona,AZ
"Tucson, Arizona",Tucson,Arizona,AZ
"Arkadelphia, Arkansas",Arkadelphia,Arkansas,AR
"Conway, Arkansas",Conway,Arkansas,AR
"Fayetteville, Arkansas",Fayetteville,Arkansas,AR
"Fort Smith, Arkansas",Fort Smith,Arkansas,AR
"Jonesboro, Arkansas",Jonesboro,Arkansas,AR
"Little Rock, Arkansas",Little Rock,Arkansas,AR
"Magnolia, Arkansas",Magnolia,Arkansas,AR
"Monticello, Arkansas",Monticello,Arkansas,AR
"Russellville, Arkansas",Russellville,Arkansas,AR
"Searcy, Arkansas",Searcy,Arkansas,AR
"Angwin, California",Angwin,California,CA
"Arcata, California",Arcata,California,CA
"Azusa, California",Azusa,California,CA
"Berkeley, California",Berkeley,California,CA
"Chico, California",Chico,California,CA
"Claremont, California",Claremont,California,CA
"Cotati, California",Cotati,California,CA
"Davis, California",Davis,California,CA
"Irvine, California",Irvine,California,CA
"Isla Vista, California",Isla Vista,California,CA
"La Verne, California",La Verne,California,CA
"Loma Linda, California",Loma Linda,California,CA
"Merced, California",Merced,California,CA
"Orange, California",Orange,California,CA
"Palo Alto, California",Palo Alto,California,CA
"Pasadena, California",Pasadena,California,CA
"Pomona, California",Pomona,California,CA
"Redlands, California",Redlands,California,CA
"Riverside, California",Riverside,California,CA
"Rocklin, California",Rocklin,California,CA
"San Luis Obispo, California",San Luis Obispo,California,CA
"San Marcos, California",San Marcos,California,CA
"Santa Barbara, California",Santa Barbara,California,CA
"Santa Cruz, California",Santa Cruz,California,CA
"Seaside, California",Seaside,California,CA
"Stanford, California",Stanford,California,CA
"Turlock, California",Turlock,California,CA
"University District, California",University District,California,CA
"Whittier, California",Whittier,California,CA
"Alamosa, Colorado",Alamosa,Colorado,CO
"Aurora, Colorado",Aurora,Colorado,CO
"Boulder, Colorado",Boulder,Colorado,CO
"Colorado Springs, Colorado",Colorado Springs,Colorado,CO
"Durango, Colorado",Durango,Colorado,CO
"Fort Collins, Colorado",Fort Collins,Colorado,CO
"Golden, Colorado",Golden,Colorado,CO
"Grand Junction, Colorado",Grand Junction,Colorado,CO
"Greeley, Colorado",Greeley,Colorado,CO
