state_name,town_name,median_download_speed,median_upload_speed,median_latency
Alabama,Alabaster,239.37,22.14,16
Alabama,Albertville,196.19,21.8,22
Alabama,Andalusia,156.48,29.92,28
Alabama,Anniston,162.66,30.97,10
Alabama,Athens,196.78,22.03,22
Alabama,Auburn,192.82,22.16,16
Alabama,Bessemer,177.78,11.82,16
Alabama,Birmingham,140.61,16.87,16
Alabama,Center Point,233.4,21.12,23
Alabama,Chelsea,257.21,35.48,16
Alabama,Cullman,190.62,21.08,12
Alabama,Daphne,194.48,39.39,23
Alabama,Decatur,224.9,20.29,22
Alabama,Dothan,188.6,18.42,23
Alabama,Enterprise,233.2,17.5,19
Alabama,Fairhope,127.76,47,24
Alabama,Florence,171.23,15.56,27
Alabama,Foley,90.48,24.97,15
Alabama,Fort Payne,150.74,22.65,26
Alabama,Gadsden,236.5,23.51,26
Alabama,Gardendale,271.57,20.28,24
Alabama,Gulf Shores,113.61,34.11,20
Alabama,Guntersville,188.26,11.62,24
Alabama,Helena,231.51,22.94,15
Alabama,Homewood,144.47,22.19,17
Alabama,Hoover,224.34,21.45,17
Alabama,Huntsville,238.98,105.61,11
Alabama,Irondale,220.09,29.94,13
Alabama,Jasper,189.42,19.51,20
Alabama,Leeds,253.62,11.55,19
Alabama,Madison,196.48,37.76,22
Alabama,Meadowbrook,198.77,16.13,19
Alabama,Meridianville,256.48,179.48,19
Alabama,Millbrook,246.91,19.83,10
Alabama,Mobile,201.17,23.83,17
Alabama,Montgomery,183.62,21.79,22
Alabama,Moody,188.72,20.58,23
Alabama,Mountain Brook,180.13,22.19,16
Alabama,Muscle Shoals,198.23,23.4,27
Alabama,Northport,236.24,22.92,23
Alabama,Odenville,53.7,12.78,24
Alabama,Oneonta,101.57,16.73,11
Alabama,Opelika,197.11,58.68,10
Alabama,Orange Beach,121.72,83.83,13
Alabama,Pelham,224.09,21.03,17
Alabama,Pell City,104.8,13.01,24
Alabama,Phenix City,138.09,27.11,16
Alabama,Prattville,200.46,23.25,22
Alabama,Saraland,178.48,22.71,17
Alabama,Scottsboro,95.42,67.54,4
Alabama,Tillmans Corner,226.21,40.9,19
Alabama,Troy,109.46,85.82,4
Alabama,Trussville,219.06,18.5,24
Alabama,Tuscaloosa,177.51,23.48,23
Alabama,Vestavia Hills,180.99,21.36,17
Alaska,Anchorage,154.53,28.54,10
Alaska,College,41.06,19.45,19
Alaska,Fairbanks,189.31,38.48,15
Alaska,Juneau,142.03,28.16,26
Alaska,Knik-Fairview,45.18,10.1,9
Alaska,Meadow Lakes,37.31,8.22,9
Alaska,Wasilla,73.94,19.68,9
Arizona,Apache Junction,115.69,25.94,12
Arizona,Arizona City,65.09,41.81,11
Arizona,Avondale,180.86,22.58,11
Arizona,Buckeye,258.72,36.57,10
Arizona,Bullhead City,108.16,20.57,21
Arizona,Camp Verde,28.56,4.92,34
Arizona,Casa Grande,158.89,10.62,13
Arizona,Casas Adobes,232.17,14.43,11
Arizona,Catalina Foothills,212.3,12,12
Arizona,Cave Creek,52.4,17.77,12
Arizona,Chandler,209.45,11.15,10
Arizona,Chino Valley,73.32,16.43,13
Arizona,Cottonwood,106.7,20.03,17
Arizona,Cottonwood-Verde Village,63.47,7.8,18
Arizona,Drexel Heights,277.15,15.33,12
Arizona,El Mirage,234.11,26.33,11
Arizona,Flagstaff,169.1,28.31,17
Arizona,Florence,167.15,31.17,11
Arizona,Fort Mohave,80.88,16.9,24
Arizona,Fortuna Foothills,193.63,11.37,20
Arizona,Fountain Hills,173.45,10.44,13
Arizona,Gilbert,225.35,17.58,10
Arizona,Glendale,207.93,23.59,12
Arizona,Gold Canyon,109.34,21.51,13
Arizona,Goodyear,253.32,31.83,11
Arizona,Green Valley,159.38,10.19,15
Arizona,Kingman,196.53,22.96,19
Arizona,Lake Havasu City,169.05,21.43,19
Arizona,Marana,237.41,17.44,11
Arizona,Maricopa,164.22,23.22,11
Arizona,Mesa,185.49,11.5,11
Arizona,New River,70.83,18.6,13
Arizona,Nogales,94.7,26.02,17
Arizona,Oro Valley,209.93,12.61,12
Arizona,Page,47.28,17.36,18
Arizona,Paradise Valley,114.4,10.94,13
Arizona,Payson,85.12,7.27,21
Arizona,Peoria,239.04,33.76,11
Arizona,Phoenix,163.26,19.07,11
Arizona,Picture Rocks,115.39,11.58,11
Arizona,Prescott,177.75,20.93,11
Arizona,Prescott Valley,173.29,20.87,11
Arizona,Queen Creek,251.11,34.95,11
Arizona,Sahuarita,190.36,10.79,14
Arizona,San Luis,115,11.47,20
Arizona,San Tan Valley,257.67,27.41,11
Arizona,Scottsdale,171.26,13.03,11
Arizona,Sedona,80.03,7.4,17
Arizona,Show Low,100,20.06,21
Arizona,Sierra Vista,168.29,10.27,16
Arizona,Sierra Vista Southeast,119.37,10.01,16
Arizona,Sun City,200.6,10.89,11
Arizona,Sun City West,182.33,10.75,11
Arizona,Sun Lakes,100.63,12.9,11
Arizona,Surprise,277.19,37.21,9
Arizona,Tanque Verde,178,11.39,13
Arizona,Tempe,174.46,11.6,10
Arizona,Tolleson,227.37,26.25,10
Arizona,Tortolita,220.69,13.52,11
Arizona,Tucson,166.84,10.76,13
Arizona,Valencia West,238.43,21.46,13
Arizona,Yuma,199.53,11.53,19
Arkansas,Bella Vista,167.02,10.46,22
Arkansas,Benton,192.56,52.06,11
Arkansas,Bentonville,218.13,24.73,20
Arkansas,Bryant,202.34,36.22,13
Arkansas,Cabot,106.64,7.96,11
Arkansas,Centerton,250.83,36.48,17
Arkansas,Conway,97.98,30.51,10
Arkansas,El Dorado,186.66,26.74,17
Arkansas,Fayetteville,167.15,40.9,15
Arkansas,Fort Smith,192.52,21.14,16
Arkansas,Gibson,77.93,14.08,23
Arkansas,Greenbrier,89.21,38.41,9
Arkansas,Harrison,97.06,24.75,16
Arkansas,Hot Springs,93.68,16.55,37
Arkansas,Hot Springs Village,104.68,21.13,20
Arkansas,Jacksonville,145.5,20.63,13
Arkansas,Jonesboro,219.7,50.83,9
Arkansas,Little Rock,176.07,23.83,13
Arkansas,Maumelle,196.78,53.33,14
Arkansas,Mountain Home,145.67,37.48,12
Arkansas,North Little Rock,200.71,24.1,13
Arkansas,Paragould,92.07,19.42,3
Arkansas,Pine Bluff,147.55,9.59,11
Arkansas,Rogers,233.33,36.54,20
Arkansas,Russellville,206.21,30.82,11
Arkansas,Searcy,94.02,40.62,14
Arkansas,Sherwood,215.15,23.5,15
Arkansas,Siloam Springs,229.45,10.79,18
Arkansas,Springdale,205.43,36.74,14
Arkansas,Texarkana,230.22,31.41,14
Arkansas,Van Buren,150.68,32.01,15
Arkansas,West Memphis,149.14,19.87,15
California,Adelanto,284.73,47.93,11
California,Agoura Hills,193.43,17.76,15
California,Alameda,221.04,30.85,11
California,Alamo,212.63,23.05,14
California,Albany,223.13,124.08,6
California,Alhambra,196.56,17.01,10
California,Aliso Viejo,187.73,10.8,12
