town_name,walk_score,bike_score,num_eateries
"Auburn, AL",28,38,240
"Florence, AL",32,36,151
"Homewood, AL",42,25,177
"Huntsville, AL",24,40,714
"Troy, AL",21,24,70
"Tuscaloosa, AL",33,37,341
"Anchorage, AK",31,52,697
"Fairbanks, AK",32,56,158
"Juneau, AK",21,35,110
"Chandler, AZ",35,55,745
"Flagstaff, AZ",39,65,282
"Gilbert, AZ",29,53,757
"Glendale, AZ",40,57,659
"Lake Havasu City, AZ",15,29,139
"Mesa, AZ",38,60,"1,150"
"Peoria, AZ",30,47,417
"Prescott, AZ",25,27,170
"Scottsdale, AZ",32,56,"1,069"
"Tempe, AZ",54,75,829
"Tucson, AZ",43,66,"1,481"
"Conway, AR",25,37,210
"Fayetteville, AR",32,50,352
"Fort Smith, AR",35,38,241
"Jonesboro, AR",23,30,196
"Little Rock, AR",33,32,600
"Russellville, AR",27,38,84
"Searcy, AR",36,44,99
"Arcata, CA",48,65,78
"Azusa, CA",58,49,135
"Berkeley, CA",85,83,580
"Chico, CA",49,69,286
"Claremont, CA",48,50,156
"Davis, CA",50,90,163
"Irvine, CA",43,69,868
"Isla Vista, CA",60,90,32
"La Verne, CA",42,37,111
"Loma Linda, CA",37,40,72
"Merced, CA",42,54,166
"Orange, CA",51,53,515
"Palo Alto, CA",61,91,324
"Pasadena, CA",69,70,595
"Pomona, CA",52,47,297
"Redlands, CA",40,53,234
"Riverside, CA",43,49,735
"Rocklin, CA",34,51,187
San Luis Obispo,56,69,0
"San Marcos, CA",33,30,267
"Santa Barbara, CA",61,68,456
"Santa Cruz, CA",63,86,268
"Seaside, CA",53,48,101
"Turlock, CA",46,45,199
"Whittier, CA",64,52,243
"Aurora, CO",43,53,815
"Boulder, CO",56,86,427
Colorado Springs,36,45,0
"Durango, CO",37,52,146
"Fort Collins, CO",37,78,511
"Golden, CO",42,56,124
"Grand Junction, CO",32,55,244
"Greeley, CO",39,47,250
"Lakewood, CO",43,56,508
"Pueblo, CO",37,47,235
"Bridgeport, CT",66,49,314
"Danbury, CT",37,28,221
"East Hartford, CT",33,40,70
"Hartford, CT",67,54,346
"Middletown, CT",28,28,151
"New Britain, CT",48,48,111
"New Haven, CT",68,66,460
"New London, CT",55,42,88
"North Haven, CT",19,26,103
"Stamford, CT",55,46,350
"Waterbury, CT",46,29,222
"Willimantic, CT",50,46,38
"West Hartford, CT",44,44,223
"West Haven, CT",48,39,144
"Dover, DE",33,47,143
"Newark, DE",42,61,115
"Brandon, FL",24,39,397
"Cape Coral, FL",17,37,354
"Coral Gables, FL",56,56,342
"Coral Springs, FL",38,45,330
"Davie, FL",27,43,413
"Daytona Beach, FL",37,51,342
"DeLand, FL",33,50,161
"Estero, FL",13,41,100
"Fort Lauderdale, FL",56,56,"1,030"
"Fort Myers, FL",35,48,283
"Gainesville, FL",37,69,466
"Hialeah, FL",68,51,372
"Kendall, FL",45,46,361
"Lakeland, FL",35,51,374
"Miami Gardens, FL",38,43,146
"Miramar, FL",28,40,165
"North Miami, FL",61,53,209
"Panama City, FL",33,44,163
"Pembroke Pines, FL",32,41,406
"Pensacola, FL",36,47,336
"Port St. Lucie, FL",13,36,307
"Sarasota, FL",52,60,369
"St. Petersburg, FL",43,59,788
"Sunrise, FL",37,44,333
"Tallahassee, FL",30,45,681
"West Palm Beach, FL",40,50,443
"Albany, GA",23,34,199
"Carrollton, GA",24,32,135
"Columbus, GA",25,31,488
"Kennesaw, GA",26,23,150
"Lawrenceville, GA",28,28,157
"Macon, GA",30,32,279
"Milledgeville, GA",24,30,96
"Rome, GA",27,38,163
"Savannah, GA",44,52,717
"Statesboro, GA",32,48,126
"Valdosta, GA",30,45,207
"Caldwell, ID",24,38,99
"Lewiston, ID",36,41,83
"Moscow, ID",48,58,82
"Nampa, ID",29,46,215
"Pocatello, ID",37,42,155
"Rexburg, ID",42,55,72
"Aurora, IL",40,52,403
"Bloomington, IL",35,47,226
"Bourbonnais, IL",38,41,63
"Carbondale, IL",42,49,85
"Charleston, IL",42,49,43
"Deerfield, IL",36,41,69
"DeKalb, IL",38,61,104
"East Peoria, IL",17,25,111
"Edwardsville, IL",31,44,120
"Elgin, IL",43,51,218
"Elmhurst, IL",48,52,147
"Evanston, IL",76,89,260
"Joliet, IL",35,44,323
"Macomb, IL",36,40,45
"Naperville, IL",34,45,480
"Normal, IL",40,51,120
"Peoria, IL",41,44,381
"Rock Island, IL",44,42,84
"Rockford, IL",41,43,385
"Springfield, IL",38,45,431
"Marion, IN",40,45,81
"Muncie, IN",38,53,162
"South Bend, IN",42,58,297
"Terre Haute, IN",40,48,208
"Ames, IA",42,69,161
"Bettendorf, IA",29,39,102
"Cedar Falls, IA",38,56,124
"Cedar Rapids, IA",34,41,400
"Davenport, IA",44,40,340
"Emporia, KS",45,45,64
"Hays, KS",39,41,69
"Manhattan, KS",39,54,161
"Pittsburg, KS",36,55,61
"Bowling Green, KY",37,39,268
"Frankfort, KY",29,25,112
"Georgetown, KY",23,28,89
"Murray, KY",33,38,70
"Owensboro, KY",36,47,187
"Richmond, KY",35,32,112
"Baton Rouge, LA",39,44,741
"Hammond, LA",32,45,145
"Lafayette, LA",42,47,492
"Monroe, LA",32,41,182
"Natchitoches, LA",32,43,72
"Ruston, LA",25,28,84
"Augusta, ME",27,30,78
"Bangor, ME",40,36,158
"Biddeford, ME",42,42,94
"Lewiston, ME",46,41,105
"Portland, ME",62,68,460
"Annapolis, MD",48,58,201
"College Park, MD",53,70,116
